Time,Name,Azimuth (°),Elevation (°),Slant km,x_East (m),y_North (m),z_Up (m)
2025-07-31 20:23:12,STARLINK-5658,49.84,42.97,788.6,440965.8,372143.5,537493.5
2025-07-31 20:23:12,STARLINK-30439,70.22,41.81,803.0,563247.4,202527.1,535302.4
2025-07-31 20:23:12,STARLINK-3550,346.36,39.7,805.1,-146066.9,601927.3,514301.2
2025-07-31 20:23:12,STARLINK-32037,211.69,32.71,816.5,-360858.2,-584596.8,441267.6
2025-07-31 20:23:12,STARLINK-6163,107.17,40.16,824.8,602247.3,-186095.7,531894.3
2025-07-31 20:23:12,STARLINK-3778,56.19,37.53,836.8,551416.3,369222.5,509754.4
2025-07-31 20:23:12,STARLINK-3779,0.98,36.19,859.3,11859.4,693438.6,507341.9
2025-07-31 20:23:12,STARLINK-3098,96.48,35.9,861.9,693713.6,-78810.2,505415.6
2025-07-31 20:23:12,STARLINK-2536,165.76,36.39,863.5,171019.3,-673787.1,512269.4
2025-07-31 20:23:12,STARLINK-33691,292.56,30.05,884.3,-706889.2,293610.1,442732.4
2025-07-31 20:23:12,STARLINK-30186,212.14,34.4,917.2,-402589.1,-640821.2,518151.0
2025-07-31 20:23:12,STARLINK-6108,261.85,33.15,942.8,-781368.1,-111925.8,515597.9
2025-07-31 20:23:12,STARLINK-30036,288.19,32.08,965.9,-777520.5,255495.1,512910.1
2025-07-31 20:23:15,STARLINK-11490 [DTC],254.54,56.68,426.4,-225712.2,-62415.0,356290.0
2025-07-31 20:23:15,STARLINK-11391 [DTC],318.98,46.01,485.9,-221502.7,254632.0,349572.7
2025-07-31 20:23:15,STARLINK-31922,27.72,69.57,515.2,83651.8,159176.9,482843.9
2025-07-31 20:23:15,STARLINK-31485,74.02,67.9,519.7,187985.0,53829.0,481532.2
2025-07-31 20:23:15,STARLINK-31048,143.07,62.75,530.8,146049.0,-194291.2,471864.0
2025-07-31 20:23:15,STARLINK-30562,73.24,56.66,562.2,295886.0,89123.2,469664.0
2025-07-31 20:23:15,STARLINK-31658,262.29,58.83,563.9,-289246.5,-39160.1,482496.9
2025-07-31 20:23:15,STARLINK-6152,289.73,82.39,565.5,-70460.1,25276.0,560561.9
